Timestamp,Algorithm,TP,FP,FN,Recall,Precision,F1,MOTP
4063.082,M-detector,0,1,25,0.0,0.0,0.0,0.0
4063.182,M-detector,0,3,25,0.0,0.0,0.0,0.0
4063.282,M-detector,0,2,25,0.0,0.0,0.0,0.0
4063.382,M-detector,0,2,25,0.0,0.0,0.0,0.0
4063.482,M-detector,0,1,25,0.0,0.0,0.0,0.0
4063.582,M-detector,0,2,25,0.0,0.0,0.0,0.0
4063.682,M-detector,0,2,25,0.0,0.0,0.0,0.0
4063.782,M-detector,0,3,25,0.0,0.0,0.0,0.0
4063.882,M-detector,0,2,25,0.0,0.0,0.0,0.0
4063.982,M-detector,0,2,25,0.0,0.0,0.0,0.0
4064.082,M-detector,0,3,25,0.0,0.0,0.0,0.0
4064.182,M-detector,0,3,25,0.0,0.0,0.0,0.0
4064.282,M-detector,0,3,25,0.0,0.0,0.0,0.0
4064.382,M-detector,1,2,24,0.04,0.3333333333333333,0.07142857142857142,0.47195762677830966
4064.482,M-detector,1,2,24,0.04,0.3333333333333333,0.07142857142857142,0.5751901173074616
4064.582,M-detector,0,0,25,0.0,0.0,0.0,0.0
4064.682,M-detector,0,2,25,0.0,0.0,0.0,0.0
4064.782,M-detector,0,2,25,0.0,0.0,0.0,0.0
4064.882,M-detector,0,2,25,0.0,0.0,0.0,0.0
4064.982,M-detector,0,1,25,0.0,0.0,0.0,0.0
4065.082,M-detector,0,1,25,0.0,0.0,0.0,0.0
4065.182,M-detector,0,0,25,0.0,0.0,0.0,0.0
4065.282,M-detector,0,1,25,0.0,0.0,0.0,0.0
4065.382,M-detector,0,1,25,0.0,0.0,0.0,0.0
4065.482,M-detector,0,1,25,0.0,0.0,0.0,0.0
4065.582,M-detector,0,1,25,0.0,0.0,0.0,0.0
4065.682,M-detector,0,1,25,0.0,0.0,0.0,0.0
4065.782,M-detector,1,0,24,0.04,1.0,0.07692307692307693,0.4502451314748625
4065.882,M-detector,0,1,25,0.0,0.0,0.0,0.0
4065.982,M-detector,0,0,25,0.0,0.0,0.0,0.0
4066.082,M-detector,0,1,25,0.0,0.0,0.0,0.0
4066.182,M-detector,1,0,24,0.04,1.0,0.07692307692307693,0.5650566857466991
4066.282,M-detector,1,0,24,0.04,1.0,0.07692307692307693,0.5005709578443149
4066.382,M-detector,1,0,24,0.04,1.0,0.07692307692307693,0.5851011176042219
4066.482,M-detector,1,0,24,0.04,1.0,0.07692307692307693,0.5676484844420829
4066.582,M-detector,1,0,24,0.04,1.0,0.07692307692307693,0.5360728949146898
4066.682,M-detector,0,2,25,0.0,0.0,0.0,0.0
4066.782,M-detector,0,3,25,0.0,0.0,0.0,0.0
4066.882,M-detector,0,2,25,0.0,0.0,0.0,0.0
4066.982,M-detector,0,3,25,0.0,0.0,0.0,0.0
4067.082,M-detector,0,1,25,0.0,0.0,0.0,0.0
4067.182,M-detector,0,2,25,0.0,0.0,0.0,0.0
4067.282,M-detector,0,4,25,0.0,0.0,0.0,0.0
4067.382,M-detector,1,3,24,0.04,0.25,0.06896551724137932,0.5863044637093774
4067.482,M-detector,1,1,24,0.04,0.5,0.07407407407407407,0.5468524383449014
4067.582,M-detector,1,2,24,0.04,0.3333333333333333,0.07142857142857142,0.5479347496587754
4067.682,M-detector,0,4,25,0.0,0.0,0.0,0.0
4067.783,M-detector,1,1,24,0.04,0.5,0.07407407407407407,0.4277375984023958
4067.883,M-detector,1,2,24,0.04,0.3333333333333333,0.07142857142857142,0.5038906245648842
4067.982,M-detector,0,3,25,0.0,0.0,0.0,0.0
4068.082,M-detector,0,4,25,0.0,0.0,0.0,0.0
4068.182,M-detector,0,3,25,0.0,0.0,0.0,0.0
4068.282,M-detector,0,3,25,0.0,0.0,0.0,0.0
4068.382,M-detector,0,2,25,0.0,0.0,0.0,0.0
4068.482,M-detector,0,1,25,0.0,0.0,0.0,0.0
4068.582,M-detector,0,2,25,0.0,0.0,0.0,0.0
4068.682,M-detector,0,2,25,0.0,0.0,0.0,0.0
4068.782,M-detector,0,3,25,0.0,0.0,0.0,0.0
4068.882,M-detector,0,2,25,0.0,0.0,0.0,0.0
4068.982,M-detector,0,2,25,0.0,0.0,0.0,0.0
4069.082,M-detector,0,2,25,0.0,0.0,0.0,0.0
4069.182,M-detector,0,1,25,0.0,0.0,0.0,0.0
4069.282,M-detector,0,1,25,0.0,0.0,0.0,0.0
4069.382,M-detector,0,0,25,0.0,0.0,0.0,0.0
4069.482,M-detector,1,1,24,0.04,0.5,0.07407407407407407,0.4547198582048971
4069.582,M-detector,0,2,25,0.0,0.0,0.0,0.0
4069.682,M-detector,0,1,25,0.0,0.0,0.0,0.0
4069.782,M-detector,0,1,25,0.0,0.0,0.0,0.0
4069.882,M-detector,0,2,25,0.0,0.0,0.0,0.0
4069.982,M-detector,0,2,25,0.0,0.0,0.0,0.0
4070.082,M-detector,1,0,24,0.04,1.0,0.07692307692307693,0.5258788967188802
4070.182,M-detector,0,0,25,0.0,0.0,0.0,0.0
4070.282,M-detector,1,1,24,0.04,0.5,0.07407407407407407,0.5348465915153735
4070.382,M-detector,0,2,25,0.0,0.0,0.0,0.0
4070.482,M-detector,1,1,24,0.04,0.5,0.07407407407407407,0.49545673904498405
4070.582,M-detector,0,1,25,0.0,0.0,0.0,0.0
4070.682,M-detector,0,0,25,0.0,0.0,0.0,0.0
4070.782,M-detector,0,2,25,0.0,0.0,0.0,0.0
4070.882,M-detector,1,3,24,0.04,0.25,0.06896551724137932,0.5008461706939368
4070.982,M-detector,1,2,24,0.04,0.3333333333333333,0.07142857142857142,0.4297573343569414
4071.082,M-detector,0,1,25,0.0,0.0,0.0,0.0
4071.182,M-detector,0,1,25,0.0,0.0,0.0,0.0
4071.282,M-detector,2,0,23,0.08,1.0,0.14814814814814814,0.45285499380052413
4071.382,M-detector,0,1,25,0.0,0.0,0.0,0.0
4071.482,M-detector,0,2,25,0.0,0.0,0.0,0.0
4071.582,M-detector,0,1,25,0.0,0.0,0.0,0.0
4071.682,M-detector,0,1,25,0.0,0.0,0.0,0.0
4071.782,M-detector,0,1,25,0.0,0.0,0.0,0.0
4071.882,M-detector,1,0,24,0.04,1.0,0.07692307692307693,0.47372669342540735
4071.982,M-detector,0,2,25,0.0,0.0,0.0,0.0
4072.083,M-detector,1,0,24,0.04,1.0,0.07692307692307693,0.4537591043012473
4072.182,M-detector,0,1,25,0.0,0.0,0.0,0.0
4072.282,M-detector,0,1,25,0.0,0.0,0.0,0.0
4072.382,M-detector,1,0,24,0.04,1.0,0.07692307692307693,0.36005644682250015
4072.482,M-detector,0,1,25,0.0,0.0,0.0,0.0
4072.582,M-detector,0,0,25,0.0,0.0,0.0,0.0
4072.682,M-detector,0,1,25,0.0,0.0,0.0,0.0
4072.782,M-detector,0,1,25,0.0,0.0,0.0,0.0
4072.882,M-detector,0,1,25,0.0,0.0,0.0,0.0
4072.982,M-detector,0,1,25,0.0,0.0,0.0,0.0
4073.082,M-detector,0,1,25,0.0,0.0,0.0,0.0
4073.182,M-detector,0,1,25,0.0,0.0,0.0,0.0
4073.282,M-detector,0,1,25,0.0,0.0,0.0,0.0
